ID	pop	age	sex	mass	b.l	b.w	b.d	w.l	t.max	t.min	t.w	ts.l	h.l
B72768.Huanuco.Mitotambo	Mitotambo	a	m	27.3	11.55	3.02	NA	75.51	79.76	49.96	12.53	21.94	17.65
B72772.Huanuco.Mitotambo	Mitotambo	a	m	28.5	11.36	3.34	4.33	81.63	90.12	50.63	14.03	23.54	18.16
B72773.Huanuco.Mitotambo	Mitotambo	a	m	28	11.62	3.19	4.43	80.01	88.3	50.82	12.31	23.67	17.89
B72767.Huanuco.Mitotambo	Mitotambo	a	f	NA	damaged	damaged	damaged	damaged	damaged	damaged	damaged	damaged	damaged
B72775.Huanuco.Mitotambo	Mitotambo	a	f	28.9	damaged	damaged	damaged	76.51	damaged	damaged	damaged	23.09	17.8
B72766.Huanuco.Mitotambo	Mitotambo	a	m	29.4	11.84	2.93	4.74	79.34	NA	NA	NA	24.6	17.69
FMNH_391888	Morococha	NA	f	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FMNH_391889	Morococha	NA	m	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B72905.Ancash.Pacar	Pacar	j	m	15.2	10.35	2.82	3.5	65.43	71.76	36.91	10.96	18.69	13.77
B72910.Ancash.Pacar	Pacar	a	m	18.4	10.73	2.9	4.06	67.14	71.05	37.28	9.72	18.09	15.9
B72906.Ancash.Pacar	Pacar	a	f	18.2	11.18	2.93	3.98	65.79	73.88	37.69	9.81	19.42	16.03
B72912.Ancash.Pacar	Pacar	a	m	18.8	12.27	2.88	3.93	68.4	74.25	38.92	10.12	19.59	15.75
B72908.Ancash.Pacar	Pacar	a	f	17.5	NA	2.74	3.91	66.14	75.03	41.46	10.93	18.71	15.22
B72904.Ancash.Pacar	Pacar	a	m	18.2	11.36	3.05	3.94	68.93	75.53	42.09	10.11	19.53	15.81
B72909.Ancash.Pacar	Pacar	a	m	NA	NA	NA	NA	70.78	79.57	43.69	NA	20.48	16.22
B72907.Ancash.Pacar	Pacar	a	m	17.9	11.6	2.96	3.94	69.65	78.42	44.5	11.66	19.21	15.44
B72911.Ancash.Pacar	Pacar	a	m	18.8	12.46	2.99	3.85	71.46	79.17	46.68	9.54	20.73	15.29
LSU86070.Ancash.Pariacoto	Pariacoto	a	m	19	10.78	3.09	4.12	68.15	76.01	38.18	11.05	20.93	15.56
LSU86071.Ancash.Pariacoto	Pariacoto	a	m	16	11.1	2.96	3.94	69.23	79.33	41.87	10.43	21.16	15.67
LSU86073.Ancash.Pariacoto	Pariacoto	a	f	15	10.51	3.12	3.65	64.54	75.43	42	11.57	21.06	17.5
LSU86072.Ancash.Pariacoto	Pariacoto	a	m	18	11.2	3.5	4.1	73.03	76.48	45.7	12	20.77	15.27
B72862.Piura.Porculla	Porculla	a	f	17.8	9.09	2.64	3.7	molt	63.85	30.28	9.33	20.6	15.85
B72867.Piura.Porculla	Porculla	a	f	16.1	9.54	2.75	damaged	62.27	71.04	34.03	10.48	18.98	15.92
B72865.Piura.Porculla	Porculla	a	m	17.1	9.59	2.58	3.67	63.36	71.99	34.94	10.09	20.19	15.98
B72866.Piura.Porculla	Porculla	a	m	16.6	9.5	2.54	3.72	66.79	71.29	35.32	9.52	20.35	16.51
B72864.Piura.Porculla	Porculla	a	m	16	9.66	2.83	3.63	64.67	69.09	36.02	9.43	19.89	15.02
