ID	mass	b.l	b.w	b.d	w.l	t.max	t.min	t.w	ts.l	h.l
LSU97655.Piura.Canchaque	14.5	9.99	2.85	3.78	65.7265892154406	69.93	36.74	11.61	20	15.59
LSU78309.Piura.Canchaque	15	9.24	3.13	3.49	61.86	63.85	32.84	9.66	19.14	15.92
LSU78313.Piura.Canchaque	17	9.72	2.95	3.73	63.44	65.77	34.58	10.07	18.93	14.99
LSU78311.Piura.Canchaque	14	9.01	3.97	3.51	63.1	69.87	34.94	9.63526089772851	18.14	15.31
LSU78308.Piura.Canchaque	15	9.24	3.04	3.69	59.57	63.44	35.99	10.22	20.06	15.44
LSU97656.Piura.Canchaque	19	10.04	3.01	3.89	64.4	63.14	36.24	10.0895734690256	20.48	15.74
B72873.Piura.Canchaque	16.3	9.32	2.75	3.57	61.6	69.32	36.84	10.24	19.05	15.89
B72878.Piura.Canchaque	15.4	9.24	2.16	3.49	64.64	70.57	37.19	10.21	20.61	14.75
B72877.Piura.Canchaque	19	9.77	2.72	3.54	64.77	71	37.2	12.53	20.35	15.52
LSU78310.Piura.Canchaque	15	9.1	2.76	3.48	65.38	70.49	37.36	9.98167686707727	18.65	15.3135356163202
B72876.Piura.Canchaque	17.4	10.22	2.88	3.64	67.43	75.02	40.27	10.89	19.39	14.79
B72875.Piura.Canchaque	16.7	10.07	3.15	3.56	66.8	70.12	40.3	11.85	20.17	16.23
LSU78312.Piura.Canchaque	17	9.73	2.56	3.87	65.75	71.47	40.53	11.95	19.89	15.46
B72874.Piura.Canchaque	16.8	10.3168753210131	2.59	3.66	68.03	72.98	42.27	10.22	19.79	14.93
B72804.Huanuco.CarpaChavin	25.1	12.07	3	4.6	74.18	74.75	44.39	12.46	22.4	17.94
B72798.Huanuco.CarpaChavin	25.1	11.47	3.27	4.23	76.04	80.77	44.59	13.44	23.67	17.67
B72797.Huanuco.CarpaChavin	24.2	11.24	3.38	4.23	75.25	85.81	44.73	11.53	22.6	17.19
LSU113559.Huanuco.CarpaChavin	27	10.65	3.23	4.27	77.74	90.24	45.22	10.25	23.07	15.83
B72799.Huanuco.CarpaChavin	28.1	10.58	2.97	4.32	78.4162363767072	88.03	45.58	11.68	22.28	17.61
B72802.Huanuco.CarpaChavin	28.7	12.44	2.97	4.62	78.7330502341827	82.19	47.17	13.5	22.79	19.78
B72793.Huanuco.CarpaChavin	28	12.23	3.26	4.49	80.47	85.51	48.46	11.87	22.92	16.71
B72800.Huanuco.CarpaChavin	27.1	12.16	3.64	4.53	81.36	85.96	50.35	13.41	23.53	18.88
B72803.Huanuco.CarpaChavin	27.8	11.83	3.11	4.12	79.31	83.87	50.92	13.12	22.44	17.95
B72801.Huanuco.CarpaChavin	29.7	12.04	3.08	4.29	82.33	80.95	52.62	13.75	24.3	17.91
B72796.Huanuco.CarpaChavin	29.9	11.83	3.49	4.36	82.11	87.91	52.76	13.13	23.69	16.74
B72795.Huanuco.CarpaChavin	27.4	11.45	3.19	4.38079724298418	77.16	81.5016077359237	45.4744465016948	10.95	22.48	18.85
B72844.Cajamarca.Celendin	22.9	10.77	3.12	4.43	70.2	77.93	39.66	11.77	22.1	16.83
B72850.Cajamarca.Celendin	25.4	10.93	3.05	4.41	77.6	84.03	39.83	11.26	23.46	17.94
B72847.Cajamarca.Celendin	23.9	10.63	2.82	4.2	76.98	81.15	45.07	11.16	21.7467412270027	16.41
B72848.Cajamarca.Celendin	23.6	11.08	2.98	4.23	71.73	76.32	45.36	11.6375633721071	21.71	16.89
B72851.Cajamarca.Celendin	25.1	11.09	2.92	4.11	78.5	84.77	45.79	12.5	22.55	17.3878735925866
B72843.Cajamarca.Celendin	24.4	11.01	2.92	4.35	74.81	80.95	45.98	11.81	22.74	17.98
B72842.Cajamarca.Celendin	24.3	10.71	3.23	4	74.8	82.15	46.55	12.96	21.73	17.74
B72846.Cajamarca.Celendin	23.7	11.32	3.01	4.18	72.35	80.44	46.71	10.43	21.9	16.76
LSU80513.Cajamarca.Celendin	25	11.23	3.09712296315782	4.23367134964241	73.08	78.8203478550229	43.6306151943561	11.9825849694334	22.84	17.68
B72788.Huanuco.Chavinillo	28	12.58	2.79	4.54	72.39	75.62	43.48	10.36	22.08	18.56
B72789.Huanuco.Chavinillo	28.9	11.38	3.13	4.51	78.88	84.65	48.94	10.42	24.05	17.91
B72792.Huanuco.Chavinillo	31	12.29	3.07	4.48	78.4	83.7706840845101	47.365978810553	12.3276920032862	22.07	18.63
B72896.Ancash.Chinchan	26.2	10.95	3.18	4.35	81.03	81.39	41.79	13.71	24.22	18.08
B72902.Ancash.Chinchan	26.8	10.82	2.9	4.09	81.04	80.32	43.14	11.03	23.04	17.23
B72897.Ancash.Chinchan	25.4	11.48	3.23	4.26	78.49	78.89	44.05	12.54	23.36	17.51
B72898.Ancash.Chinchan	25.9	10.8	3.33	4.05	76.4	83.66	44.43	12.94	23.97	18.65
B72900.Ancash.Chinchan	25.7	11.64	2.69	3.94	79.03	82.07	49.56	11.79	23.01	17.96
B72901.Ancash.Chinchan	27.5	11.82	3.16	4.37	81.12	87.24	50.27	14.21	23.95	18.05
B72903.Ancash.Chinchan	28	11.81	3.17	4.25	79.86	84.72	50.44	12.04	22.94	16.74
B72895.Ancash.Chinchan	27.5	11.16	3.31	4.28	83.66	87.23	52.1	12.49	23.42	18.14
B72894.Ancash.Chinchan	27.5	11.3804305054409	2.86	4.59	77.14	82.160350269878	46.1376864479691	12.6018851404849	23.92	18.37
B72899.Ancash.Chinchan	25.2	11.34	3.01	4.33	76.9120237046009	81.6569780933407	45.8495747475741	12.2343780611008	22.69	18.59
B72837.Cajamarca.Contumaza	25.7	12.12	3.12	4.25844761334591	74.9552140253229	79.38	44.93	12.3016523319303	23.13	15.79
B72841.Cajamarca.Contumaza	27	11.68	3.24	4.33	76.3208700726528	84.68	46.45	12.08	21.37	16.6
B72840.Cajamarca.Contumaza	23.5	11.57	3.01	4.24	74.64	81.95	47.84	10.4	22.03	17.79
B72839.Cajamarca.Contumaza	25.4	11.28	3.1	4.37	72.87	74.49	42.5474482413863	10.82	22.09	17.91
LSU84687.Cajamarca.Cutervo	24	10.68	4.18	4.03	70.45	74.18	39.59	10.87	20.95	15
LSU84688.Cajamarca.Cutervo	22	10.87	3.36	4.43	70.54	76.77	41.74	12.62	22.79	16.53
B72852.Amazonas.Duraznopampa	19.2	10.32	2.85	3.96	67.62	76.63	34.72	11.02	19.7	16.23
B72856.Amazonas.Duraznopampa	21.3	10.95	2.98	3.87	66.54	71.28	35.43	10.76	19.82	15.47
B72853.Amazonas.Duraznopampa	22.8	10.37	2.92	4.3	74.41	79.35	38.35	10.14	20.3	14.6
B72857.Amazonas.Duraznopampa	20.5	11.38	2.88	4.07	69.72	76.52	38.49	12.33	20.6	16.35
B72858.Amazonas.Duraznopampa	22.4	10.45	2.73	4.22	72.56	77.4	39.33	10.41	20.53	17.12
B72861.Amazonas.Duraznopampa	24.2	10.51	2.89	4.3	71.4	73.51	41.29	12.02	21.26	16.7
B72859.Amazonas.Duraznopampa	22	10.87	3.04	4.04	67.88	69.7	41.72	11.09	20.45	16.79
B72854.Amazonas.Duraznopampa	19.3	10.84	2.79	3.83	67.86	77.07	43.02	11.89	20.99	16.2
B72855.Amazonas.Duraznopampa	24.1	10.6	2.62	4.06	69.52	75.92	40.8786801183854	11.34	20.46	16.88
B72831.LaLibertad.ElMolino	26.9	11.64	3.41	4.65	75.18	83.22	41.28	11.48	22.39	17.57
B72828.LaLibertad.ElMolino	25.2	10.83	3.05	4.38	77.35	82.2835462626112	41.95	11.27	19.44	15.82
B72827.LaLibertad.ElMolino	25.1	10.94	3.0624879200742	4.04	75.19	82.16	42.97	12.53	21.93	18.42
B72836.LaLibertad.ElMolino	27	11.61	3.06	4.47	79.46	82.71	43.94	14.12	22.29	17.05
B72835.LaLibertad.ElMolino	26.8	11.49	3.27	4.66	74.5176381511326	74.9	44.76	9.86	22.91	18.84
B72829.LaLibertad.ElMolino	26.2	12.13	3.1	4.13	80.03	81.68	44.85	13.55	22	17.26
B72832.LaLibertad.ElMolino	25.5	12.11	3.29	4.38	76.96	81.51	46.99	12.5	22.89	16.9
B72830.LaLibertad.ElMolino	26.8	12.47	3.19	4.5	78.69	80.82	48.73	12.91	22.82	17.05
B72834.LaLibertad.ElMolino	27.6	11.54	2.98	4.55	80.32	86.1773687783928	46.5413269511344	12.4260447494927	21.9	15.44
B72833.LaLibertad.ElMolino	25.5	10.39	3.06	4.42	76.85	80.88	44.3314516487483	12.76	22.54	16.67
LSU169821.Cajamarca.Espino	17	9.4	2.6	3.75	67.7	69.09	42.02	10.19	19.43	16.63
B72892.Lima.Huamatanga	21	10.36	2.91	3.91	67.0283891481093	72.93	36.27	10.62	20.19	15.39
B72891.Lima.Huamatanga	20.9	10.41	2.72	4.04722552056027	71.88	80.17	41.71	12.11	21.58	15.61
B72889.Lima.Huamatanga	21.9	9.82	2.74	4.01	68.41	73.6966902977182	38.6873661221522	10.61	20.34	15.47
B72756.Pasco.LaQuinua	30.7	11.06	3.08	4.88	82.43	88.65	44.75	14.37	24.32	17.7
B72759.Pasco.LaQuinua	28.7	11.64	3.45	4.47	81.56	86.55	46.85	11.5	23.81	18.03
B72760.Pasco.LaQuinua	30.1	12.07	3.22130084773629	4.54	80.13	87.31	46.9	14.22	22.84	18.16
B72758.Pasco.LaQuinua	30	11.37	3.48	4.62	83.21	90.17	47.89	12.7	23.55	18.22
B72755.Pasco.LaQuinua	29.8	11.8798305005941	3.19073332390458	4.48095262476877	79.63	88.69	49.38	12.43	22.45	18.69
B72754.Pasco.LaQuinua	29.3	11.75	2.8	4.42	83.51	86.99	50.42	14.05	24.74	18.69
B72753.Pasco.LaQuinua	27.6	10.75	2.79	4.77	77.95	83.65	56.49	13.87	23.21	18.23
B72757.Pasco.LaQuinua	30.3	10.94	2.75	4.37	77.33	81.1731542285593	45.9209172361137	12.2980711721283	23.13	19.12
LSU78306.Pasco.LaQuinua	30	10.21	3.41	4.31	74.4	79.6250761379015	43.3740182558339	12.1253222227151	23.51	17.94
B72885.Cajamarca.Llama	20	11.19	2.7	4.04592515008849	68.11	73.96	34.72	8.99	19.82	17.63
B72884.Cajamarca.Llama	20.3	10.44	2.84	3.95	68.65	74.12	36.85	9.08	20.22	17.14
B72882.Cajamarca.Llama	17.1	10.51	2.4	3.57	67.93	73.31	37.02	10.99	21.11	17.38
B72883.Cajamarca.Llama	20.1	10.41	2.95	3.82	68.96	72.41	37.98	11.09	21.62	15.31
B72886.Cajamarca.Llama	19.8	9.19	2.7	3.95	68.46	66.83	39.75	9.33	21.42	16.93
B72881.Cajamarca.Llama	18	9.94	2.76	3.99550764168195	71.18	78.73	44.66	10.89	19.61	17.52
B72887.Cajamarca.Llama	19.9	10.29	2.74	4.06	71.15	75.03	44.84	9.49	20.24	16.35
B72879.Cajamarca.Llama	18.2	9.91	2.62	3.47	62.9623033403983	68.0573516809222	36.0458275391529	9.68301290377446	18.22	16
B72809.Ancash.Macate	20.7	10.97	3.02	4.16	69.99	76.36	40.46	10.83	21.8	17.46
B72888.Ancash.Macate	24.3	11.62	2.94	4.34	70.85	83.21	41	14.18	21.73	17.52
B72810.Ancash.Macate	22.6	11.42	3.2	4.23	68.17	75.73	43.08	13.03	20.53	15.31
B72806.Ancash.Macate	22.7	11.88	3.14	4.16	74.56	80.56	43.37	13.17	22.23	17.53
B72815.Ancash.Macate	24.9	11.22	3.07	4.38	73.8	81.64	44.67	12.03	21.2	17.56
B72811.Ancash.Macate	20.8	12.55	3.33	4	73.51	84.88	46.79	12.25	24.02	17
B72807.Ancash.Macate	20.7	12.21	3.26	4.05	70.29	76.19	42.355187313993	11.34	21.62	16.36
B72812.Ancash.Macate	27	12.44	3.35	4.3	73.93	80.7654689092741	45.1065010641109	12.13	21.51	17.87
B72813.Ancash.Macate	21.6	11.77	3.33	4.06	70.17	77.1526133810823	41.942867696931	11.2383172755512	20.58	16.63
B72814.Ancash.Macate	23.9	11.97	3.36	4.25	70.9	78.98	42.4353181997847	10.63	21.39	16.95
B72769.Huanuco.Mitotambo	29.2	11.5196585137516	3.25578602449861	4.38834307448614	77.91	89.95	42.59	12.9	22.61	16.71
B72774.Huanuco.Mitotambo	27.7	11.87	2.78	4.2	78.23	84.21	45.08	12.13	23.6	17.53
B72768.Huanuco.Mitotambo	27.3	11.55	3.02	4.24651755294925	75.51	79.76	49.96	12.53	21.94	17.65
B72772.Huanuco.Mitotambo	28.5	11.36	3.34	4.33	81.63	90.12	50.63	14.03	23.54	18.16
B72773.Huanuco.Mitotambo	28	11.62	3.19	4.43	80.01	88.3	50.82	12.31	23.67	17.89
B72775.Huanuco.Mitotambo	28.9	11.3425423253437	3.14024861653772	4.33579734338261	76.51	81.9288494514899	45.4946409193324	12.3496694550271	23.09	17.8
B72766.Huanuco.Mitotambo	29.4	11.84	2.93	4.74	79.34	85.0090807289687	47.5956766095537	13.0726380347314	24.6	17.69
B72910.Ancash.Pacar	18.4	10.73	2.9	4.06	67.14	71.05	37.28	9.72	18.09	15.9
B72906.Ancash.Pacar	18.2	11.18	2.93	3.98	65.79	73.88	37.69	9.81	19.42	16.03
B72912.Ancash.Pacar	18.8	12.27	2.88	3.93	68.4	74.25	38.92	10.12	19.59	15.75
B72908.Ancash.Pacar	17.5	10.5249074347791	2.74	3.91	66.14	75.03	41.46	10.93	18.71	15.22
B72904.Ancash.Pacar	18.2	11.36	3.05	3.94	68.93	75.53	42.09	10.11	19.53	15.81
B72909.Ancash.Pacar	NA	10.9631274979446	3.02738327512528	4.04065994475235	70.78	79.57	43.69	11.3785335832983	20.48	16.22
B72907.Ancash.Pacar	17.9	11.6	2.96	3.94	69.65	78.42	44.5	11.66	19.21	15.44
B72911.Ancash.Pacar	18.8	12.46	2.99	3.85	71.46	79.17	46.68	9.54	20.73	15.29
LSU86070.Ancash.Pariacoto	19	10.78	3.09	4.12	68.15	76.01	38.18	11.05	20.93	15.56
LSU86071.Ancash.Pariacoto	16	11.1	2.96	3.94	69.23	79.33	41.87	10.43	21.16	15.67
LSU86073.Ancash.Pariacoto	15	10.51	3.12	3.65	64.54	75.43	42	11.57	21.06	17.5
LSU86072.Ancash.Pariacoto	18	11.2	3.5	4.1	73.03	76.48	45.7	12	20.77	15.27
B72862.Piura.Porculla	17.8	9.09	2.64	3.7	62.0422894820616	63.85	30.28	9.33	20.6	15.85
B72867.Piura.Porculla	16.1	9.54	2.75	3.70047726606827	62.27	71.04	34.03	10.48	18.98	15.92
B72865.Piura.Porculla	17.1	9.59	2.58	3.67	63.36	71.99	34.94	10.09	20.19	15.98
B72866.Piura.Porculla	16.6	9.5	2.54	3.72	66.79	71.29	35.32	9.52	20.35	16.51
B72864.Piura.Porculla	16	9.66	2.83	3.63	64.67	69.09	36.02	9.43	19.89	15.02
B72870.Piura.Porculla	16.3	9.78	2.67	3.49	65.58	69.95	36.44	9.86	19.44	15.67
B72872.Piura.Porculla	17.2	10.47	2.98	3.54	66.05	71.96	36.68	10.27	18.99	15.78
B72863.Piura.Porculla	17.1	9.74	2.82	3.71	66.091059933823	72.95	38.3	9.89	19.09	15.3
B31683.Piura.Porculla	17	9.64	2.78	3.69	67.5	67.5	41.9	10.96	20.52	16.9
B72869.Piura.Porculla	17	9.99	2.63	3.73	63.63	68.75	36.8103252754216	10.3214994312481	20.34	16.07
B72871.Piura.Porculla	17.3	10.09	2.57	3.64	65.5872192094279	72.53	37.5852292535311	10.14	18.91	15.22
B72779.Lima.Quichas	20.9	11.29	3.24	4.21	70.5506986310926	79.07	38.87	10.83	19.25	16.95
B72780.Lima.Quichas	21.1	11.66	3.07	4.1	71.8419842224696	79.96	39.93	12.56	20.51	16.06
B72777.Lima.Quichas	21.4	11.34	2.91	4.21	66.33	77.61	40.26	10.41	20.77	16.04
B72776.Lima.Quichas	19.1	12.26	3.29	4.15	68.21	79.22	41.34	8.77	19.71	15.68
B72781.Lima.Quichas	19.4	10.11	3.3	4.15	67.11	73.8683291587118	37.7349170231476	10.2899111455036	18.86	14.93
B72785.Lima.Quichas	19.7	10.84	3.07	3.83	69.74	75.2822480072993	40.6817824645877	10.7383222955331	19.5	16.76
B72778.Lima.Quichas	19.9	11.09	2.92	4.02	65.82	68.34	38.0833103397622	10.3508755654928	19.85	15.62
LSU97657.Ancash.SanDamien	18	10.28	3.08	4	66.3888632120151	72.5272760007904	37.9170337340665	10.2133218018088	18.84	15.83
LSU97658.Ancash.SanDamien	22	11.48	3.34	4.08	70.01	76.9784731579127	41.6717747499454	11.3776873610354	21.26	16.49
B72821.LaLibertad.Suyubamba	24.8	10.93	3.36	4.21	75.07	80.19	43.08	10.98	21.46	16.72
B72817.LaLibertad.Suyubamba	25.8	11.55	2.82	4.26	76.06	88.56	43.82	12.76	21.52	15.86
B72824.LaLibertad.Suyubamba	24.7	11.17	3.37	4.16	74.89	82.88	44.84	12.73	22.9	16.83
B72825.LaLibertad.Suyubamba	25.2	11.69	2.86	4.12	76.57	81.8266663967777	44.84	11.8521504467833	21.1	16.72
B72822.LaLibertad.Suyubamba	24	11.01	3.32	4.23	79.04	83.05	46.05	10.62	21.21	17.43
B72819.LaLibertad.Suyubamba	23.4	11.43	3.16	4.17	74.6	79.33	46.29	12.37	22.7241356900178	18.62
B72823.LaLibertad.Suyubamba	26.5	12.47	3.14	4.48	77.6779611513889	84.2184564176175	47.13	12.4600038735423	22.37	17.05
B72820.LaLibertad.Suyubamba	26.1	12.75	3.13	4.3735863539948	78.13	82.66	50.01	12.81	21.99	17
B72826.LaLibertad.Suyubamba	22.6	11.27	3.14	4.32	77.9	85.25	47.0009864586198	13.49	23.13	18.35
LSU92180.LaLibertad.Tayabamba	24	10.37	3.37	4.13	68.99	77.67	42.31	12.12	20.37	16.17
LSU92181.LaLibertad.Tayabamba	24	11.4059014031442	2.95	4.23	77.03	84.5	46.04	13.92	21.58	16.68
LSU92179.LaLibertad.Tayabamba	26	10.96	3.39	4.38	72.49	82.52	43.1345276571938	11.9980888891162	22.43	17
LSU80512.Ancash.Tutapac	27	11.28	3.34	4.26	76.5	81.99	34.17	11.45	23.82	16.92
LSU81917.Ancash.Tutapac	28.5	10.71	3.22	4.18	75.68	81.03	48.87	11.94	22.86	17.82
LSU81916.Ancash.Tutapac	28	12.79	3.47	4.34	84.2	93.72	52.71	15.67	25.46	18.48
LSU81915.Ancash.Tutapac	NA	11.5801061036306	3.18709489629757	4.35899476858633	77.95	86.62	46.4784358090654	12.4643577351523	22.3	17.17
LSU34652.Lima.Zarate	NA	10.325702011989	2.9041878269309	3.83672002001541	66.83	74.38	37.27	9.98	18.95	15.5
LSU34651.Lima.Zarate	NA	10.21	2.59	3.91186739282921	68.71	75.41	41.6	11.2	20.89	15.52
