ID	h.theta.crow	h.phi.crow	r.achieved.crow	bril.crow	h.theta.back	h.phi.back	r.achieved.back	bril.back	h.theta.rump	h.phi.rump	r.achieved.rump	bril.rump	h.theta.tail	h.phi.tail	r.achieved.tail	bril.tail	h.theta.bell	h.phi.bell	r.achieved.bell	bril.bell	h.theta.brea	h.phi.brea	r.achieved.brea	bril.brea	h.theta.thro	h.phi.thro	r.achieved.thro	bril.thro	h.theta.wing	h.phi.wing	r.achieved.wing	bril.wing	h.theta.cheek	h.phi.cheek	r.achieved.cheek	bril.cheek
B67127.Tumbes.Amotape	-0.156814297283673	-0.715812467034039	0.894550277042765	0.0754362779085652	0.20442977671382	-1.02780099773671	0.84423175727991	0.0687434352086515	0.171049078190567	-0.975498123155615	0.844161944325011	0.0761163150006403	-0.109940266827239	-0.820697103115123	0.845101035703871	0.0809636889101162	0.220261364211497	-1.11099813326812	0.829223895518968	0.17611486948728	0.23889606669006	-1.15029691386931	0.827075843103022	0.204165016481765	0.314641854031204	-1.26500377027474	0.788975142537738	0.292304176789512	-0.123095939477761	-0.749499879296492	0.876251558677715	0.0881140785354604	0.217493534868684	-1.13186163519943	0.810363703392017	0.169161545791292
B67177.Tumbes.Amotape	-0.180440117498393	-0.65404418948796	0.944226309862024	0.0377055624181847	0.16527669879833	-0.936437109171161	0.885511029367144	0.0522076736840135	0.133060197879641	-0.863486900471986	0.891425905186354	0.0614130219760298	-0.158802493082814	-0.758084014196665	0.849639556287312	0.0687500897841777	0.261702740212122	-1.10625251406058	0.825620349592313	0.104264735679017	0.259219667065751	-1.13437189838655	0.821785898507735	0.163709201163793	0.386898569274917	-1.30355142573642	0.768020089432943	0.295937840785573	-0.129561839879696	-0.740629066175341	0.884375445549814	0.0758128722740344	0.171680592345017	-1.01325940983327	0.856328266963387	0.0960773879286373
B67179.Tumbes.Amotape	-0.064032210401295	-0.765824172199034	0.914851817780686	0.0631370076319027	0.188385110979284	-1.00513708471212	0.843034567296635	0.0600907682420089	0.147382065443921	-0.902136236608634	0.877961521756751	0.0643839025900212	-0.10771888419493	-0.818849769921901	0.847930539594061	0.0785272920020786	0.249635894092411	-1.10449256468258	0.825208841628086	0.136741527275723	0.258251058848818	-1.14234205514118	0.813791803589357	0.177442399723972	0.326082634480813	-1.29212268339448	0.761941307603448	0.207365630319404	-0.115318964104216	-0.736458010917016	0.886941703226792	0.0914998482575292	0.195862640004959	-1.09620854094042	0.81670416647424	0.101620015024986
B67243.Tumbes.Amotape	-0.179348120983694	-0.700919834671783	0.891890731452461	0.0831369998769478	0.184223988722328	-0.978743539959051	0.856909163958137	0.075889577807138	0.1097321618164	-0.873906153692925	0.878113420814614	0.0833259375940591	-0.127032512845377	-0.833600877217643	0.826806448255677	0.112418526591464	0.275518310415426	-1.12281957089869	0.815619494426514	0.167022713320562	0.303862896047854	-1.20814585814446	0.786906284856932	0.208016649203965	0.452249468353	-1.35988807831088	0.726651254142622	0.239677700100416	-0.151961445725914	-0.724187622098824	0.884726116030146	0.07426991243811	0.124908239495122	-1.04240806880348	0.817275791541438	0.0880265727149017
B67273.Tumbes.Amotape	-0.151926207501704	-0.690860815200552	0.922134184378027	0.0618844622519886	0.208960744656635	-1.03410425448607	0.82050925750582	0.0704201377807026	0.175806784208991	-0.955383759144212	0.863397484601591	0.0767658878392435	-0.120095654565824	-0.828134839376429	0.836978093424317	0.0893028536501097	0.250116766679216	-1.10439324232976	0.815322453374212	0.108582199915311	0.310960263437164	-1.25250007253233	0.768608158732528	0.204313760363676	0.164623269248938	-1.18576722297917	0.783375858292562	0.279429141068152	-0.147746050627651	-0.727774442074304	0.882381764315805	0.0723786818356573	0.267118497111989	-1.14425003480566	0.810651231627797	0.122273655300057
B72753.Pasco.LaQuinua	-0.102282385666991	-0.773865049124718	0.892124872704175	0.123960421103941	0.238338195582893	-1.21183416848461	0.789745539355954	0.0827572789591593	0.252012109197382	-1.17717003873565	0.781959191863058	0.111480857074197	-0.109486495410125	-0.872601843762409	0.823922390820263	0.113794933896089	0.26032307786312	-1.1844562152867	0.816339310941979	0.115148908509359	0.336241327214527	-1.28543068101041	0.774580808643054	0.30483075354706	0.497216419919693	-1.37283121872575	0.733474550885175	0.449505788141561	-0.107758978594229	-0.819425178996555	0.854455415976484	0.103047522066762	0.312984369312809	-1.28468121701742	0.758311010339645	0.21931117577885
B72754.Pasco.LaQuinua	-0.0659967748810391	-0.800410085960203	0.895781507609352	0.171039820374518	0.227794891587647	-1.20897658691081	0.796956193703835	0.0791577167153262	0.278119398722344	-1.17297960095944	0.780595899332136	0.112070968939016	-0.0956726901768415	-0.859298938976622	0.834753028371195	0.125346296594258	0.300100977318426	-1.22739853916286	0.792057554081474	0.167248104610996	0.338269182834716	-1.27970745679747	0.787520542985955	0.383864521963585	0.421533659482386	-1.30795459068703	0.789930846324065	0.460608249553331	-0.145134771812872	-0.76683532822003	0.865441126123841	0.108377080757302	0.147802993204872	-1.13522739566616	0.789203969798312	0.160450403456778
B72756.Pasco.LaQuinua	-0.0890807517808908	-0.773289543812804	0.899387238991791	0.135738694945245	0.167826561898184	-1.1638602851742	0.781870877690519	0.0772613895975291	0.2409520753814	-1.17475908422201	0.792205353054313	0.084624071040245	-0.117826686596903	-0.819307134152745	0.847469069242115	0.102609561887631	0.269856404606142	-1.20080292627556	0.798120145305234	0.166495705555967	0.409475444633467	-1.33463201850067	0.742528686430536	0.268120791688146	0.466955429766892	-1.36240340244542	0.739160058424992	0.376680969242335	-0.0648400485242738	-0.86870852475346	0.850607380327463	0.0860962018782105	0.336480331889344	-1.27229864237456	0.764834265308193	0.237316417540568
B72757.Pasco.LaQuinua	-0.0945875837702581	-0.765707703706649	0.89724272067979	0.123866792561676	0.234780806982221	-1.19688267646408	0.808538928428252	0.065237858382651	0.246627064741444	-1.16093980970069	0.809091611666449	0.10340311439262	-0.134072506624868	-0.807850868948673	0.849385041725861	0.0815140551420397	0.26925159257856	-1.20805028569887	0.801675597302229	0.142701424213086	0.341796036107206	-1.27357579793947	0.774288126350003	0.274819690402333	0.443504164914148	-1.32254455082397	0.771415878648567	0.498305643596507	-0.0939067441914437	-0.787711237129223	0.882314749789349	0.106832308232914	0.284454253939306	-1.24272775557093	0.774748312130515	0.126175827269227
B72758.Pasco.LaQuinua	-0.00659007999789449	-0.876125467706934	0.883372631392798	0.104725722346613	0.19159086856256	-1.15765510099959	0.794850947738948	0.0636968821792092	0.240788526873554	-1.11464104950999	0.828871969455339	0.0735971639101485	-0.143120979063244	-0.804397875334947	0.853219144339806	0.0873594043772749	0.27183398584593	-1.22729559654651	0.790033092812689	0.141768079746036	0.324039274879957	-1.28587357880109	0.76297457377302	0.30620191096897	0.456508433941581	-1.34578507641217	0.756916765228593	0.451951606544282	-0.0947596038270982	-0.815536911918005	0.866357037794885	0.108413127762569	0.372198484388511	-1.32746489731277	0.741817487125751	0.277813823521913
