ID	PC1.crow	PC1.back	PC1.rump	PC1.tail	PC1.bell	PC1.brea	PC1.thro	PC1.wing	PC1.cheek
B67127.Tumbes.Amotape	-0.471863170736836	0.639382085142366	-1.11098861164072	0.119480002074295	0.460275510556256	-0.511810285379228	0.135850419984345	-0.594760573968306	-0.679388908716503
B67177.Tumbes.Amotape	-3.25532603666093	2.96547578896271	-2.97959986596108	2.06822750913544	-0.0601818130464983	-0.625068556091184	-0.980871595423721	-1.03365915065021	1.99604831479781
B67179.Tumbes.Amotape	0.559476951181342	1.18067809516956	-2.41547684604743	0.228261550540611	0.230675169991928	-0.338673213497058	-0.310999724019469	-0.845514723315668	0.483759193204891
B67243.Tumbes.Amotape	-0.725262856913181	1.15291647369404	-2.37407707659273	-0.857482025448153	1.10189572019981	1.18916695490397	-2.35137756854762	-1.49789285825855	1.42570330784738
B67273.Tumbes.Amotape	-1.56363424764963	0.0324311707490518	-1.42975708141186	-0.181602444592195	0.0781937372057987	1.9163108204857	1.57264293792801	-1.36619211221185	-0.597930959924092
B72753.Pasco.LaQuinua	1.74850775182655	-2.54394737003329	2.25087589063909	-1.73357764479111	0.845756731774498	2.81666648179962	-3.4574064266576	0.869394426169546	-3.77799858862659
B72754.Pasco.LaQuinua	3.21928890824722	-2.19121496928305	2.44168234080184	-1.73989794099736	2.54129857702773	2.99188768907822	-1.48888998336391	-0.33440556689771	-0.586977695591531
B72756.Pasco.LaQuinua	1.93814966092719	-1.71129323431015	1.37142958028831	-0.0916406633901736	1.98814258113317	4.12178346592401	-2.79851403209668	1.87080695936809	-3.8970608272621
B72757.Pasco.LaQuinua	1.62935900030254	-1.44046187722784	1.56551732357974	0.786890865551761	1.69299094744373	2.59613909498324	-2.23217962676852	0.120646598329917	-2.08157354129181
B72758.Pasco.LaQuinua	3.96418740819375	-1.09364673557665	0.281879156964765	0.96965370497156	2.06487629989404	2.96201551672274	-2.58436607108498	0.756371903569409	-5.32757456341733
B72759.Pasco.LaQuinua	4.2906977154862	-1.56563761849946	0.761048804963261	0.212367595606473	1.86836422773245	2.0233187089473	-2.22406379017588	0.505689350641379	-3.2267476135418
B72760.Pasco.LaQuinua	3.24515900549803	-0.747361091266235	1.56942217545063	-0.140112824911096	1.7374814223426	1.0098261224618	-2.67123941714475	0.656975541955156	-2.52643316302024
B72761.Huanuco.Acomayo	0.846034385846168	-0.222789023178359	0.302977761464195	-1.04887737671148	3.9899807670906	1.39306733011221	-2.24463172081938	-0.157130666811229	-2.13203228323462
B72762.Huanuco.Acomayo	1.78306151388059	-2.20109464807837	1.38750096982257	-2.98860074110827	1.49628233621347	0.992907038531121	-2.40165696474285	2.56629822663246	0.453722196388684
B72763.Huanuco.Acomayo	3.74223396684943	-2.59100890885668	1.37908446345845	0.0441641066865784	3.17797616906595	1.91889623105864	-2.14431517941735	0.324106899745335	-1.63159854364906
B72764.Huanuco.Acomayo	3.29294093625099	-1.63532480453594	1.13550027131136	-1.43451823468822	0.128233658886585	1.34801965784191	-2.1893100586009	0.134026784176719	-1.1628353617808
B72766.Huanuco.Mitotambo	1.45691618352617	-1.14882265111831	2.83058566805714	-1.69086980632747	0.395026209899207	-0.683705753660086	-2.06981146300273	0.270220184928132	-1.72590344644746
B72768.Huanuco.Mitotambo	1.58308937672539	0.0563247106806318	2.62182552528977	0.463782856672217	2.28561302776423	1.61922519205051	-0.672642877378205	-0.0843796925096441	-1.00391669582921
B72772.Huanuco.Mitotambo	0.733607232418928	-0.0278259501419561	-0.386722733525263	-0.830381941952679	1.20265970705293	1.89384949480575	-2.49688485957384	1.08669624913755	-1.54944880924403
B72773.Huanuco.Mitotambo	-0.421739718297781	-1.55307070994757	1.03482595564765	-2.0028024781068	0.0991495868183502	1.77365687118521	0.309181430302987	-0.81560234251948	0.0413583465336261
B72774.Huanuco.Mitotambo	1.54265550451534	-1.43676322869189	0.283291568841668	-1.19546423300138	1.72462558300196	1.84397644165307	-2.35405587907402	2.05781482640595	-2.68269825672499
B72776.Lima.Quichas	1.04058764845227	-0.425673286486514	0.37624914353039	2.1864727719447	2.08085389966821	2.56783640226433	-2.63983143777112	0.746873190779343	-3.45756684132417
B72777.Lima.Quichas	1.20298201302319	-5.11530812575302	2.04822143992452	-0.596797217474441	1.33357206670467	1.77877422417766	-2.63293196748498	-1.31127027800882	-3.98003342340039
B72778.Lima.Quichas	0.282313313826444	-2.23927291061123	2.61512856688546	1.06005137408813	2.92548441406164	3.30225738913909	-1.16440540818674	-0.265355778317737	-5.30940925309827
B72779.Lima.Quichas	0.968086940391669	-2.8368565795606	2.14641402074708	0.774129311178145	1.95499412328916	1.89512689011426	-3.42846269398964	0.945835722044498	-2.95071385275866
B72780.Lima.Quichas	0.916418336659391	-1.60850950800548	0.463787287157865	-2.97872655203296	1.18229431162288	2.637491518177	-1.55542301851847	0.950198879205504	-1.63554131292489
B72781.Lima.Quichas	3.63227767075976	-2.01312308945854	0.815541952618864	-1.83135710057247	0.737624652532141	2.7699038548997	-1.52488695795914	0.58956988216193	-1.6179559303587
B72785.Lima.Quichas	-0.15118423334971	-2.90223126089316	1.36081041604563	0.184087528391657	1.40503831331	2.44412947075938	-1.79779296419288	-1.36891454220715	0.413633246040228
B72788.Huanuco.Chavinillo	0.409361862180853	-2.25138699593534	0.642965126390869	-2.30170777289498	3.34332312280253	2.12908441726504	-3.57219767127766	2.32188516650378	-0.39746954999662
